01.01.2019: 1.86;1.69;1.56;1.51;1.53;1.48;1.44;1.46;1.55;1.54;1.55;1.60;1.60;1.60;1.60;1.60;1.62;1.68;1.60;1.55;1.53;1.45;1.55;1.33;
02.01.2019: 1.28;1.17;1.15;1.28;1.29;1.43;1.60;1.95;2.05;2.07;2.05;2.05;2.06;2.04;2.06;2.10;2.12;2.13;2.12;2.11;2.10;2.09;2.08;2.07;
03.01.2019: 2.00;2.02;2.05;2.05;2.05;2.03;2.07;2.09;2.19;2.16;2.14;2.17;2.18;2.19;2.19;2.22;2.24;2.25;2.21;2.17;2.12;2.11;2.08;2.06;
04.01.2019: 2.06;2.04;2.04;2.04;2.04;2.04;2.06;2.11;2.11;2.10;2.10;2.09;2.08;2.08;2.08;2.08;2.09;2.10;2.09;2.08;2.03;2.02;2.01;1.89;
05.01.2019: 1.85;1.83;1.82;1.80;1.77;1.80;1.82;2.04;2.06;2.07;2.07;2.07;2.08;2.08;2.08;2.10;2.11;2.12;2.11;2.10;2.09;2.08;2.08;2.06;
06.01.2019: 2.07;2.04;2.05;2.05;2.04;2.05;2.05;2.06;2.07;2.10;2.09;2.09;2.09;2.09;2.08;2.08;2.10;2.11;2.10;2.09;2.08;2.08;2.07;2.07;
07.01.2019: 2.03;2.05;2.04;2.03;2.03;2.04;2.12;2.16;2.14;2.13;2.12;2.12;2.11;2.10;2.10;2.10;2.10;2.10;2.07;2.02;1.98;1.95;1.80;1.73;
08.01.2019: 1.77;1.79;1.67;1.73;1.77;1.77;1.93;2.01;2.04;2.01;2.01;2.03;2.01;2.00;2.01;2.02;1.93;2.02;2.02;1.95;1.97;1.93;1.88;1.81;
09.01.2019: 1.79;1.67;1.63;1.69;1.73;1.84;1.94;2.01;2.07;2.07;2.07;2.03;2.01;2.00;2.02;2.06;2.10;2.12;2.10;2.10;2.09;2.08;2.07;2.06;
10.01.2019: 2.07;2.06;2.06;2.06;2.06;2.06;2.13;2.28;2.34;2.34;2.33;2.32;2.25;2.19;2.16;2.15;2.15;2.15;2.12;2.10;2.09;2.08;2.07;2.06;
