Minutes5DK,Minutes5UTC,CO2Emission,PriceArea
2019-12-15T00:00:00,2019-12-14T23:00:00+00:00,59,DK1
2019-12-15T00:05:00,2019-12-14T23:05:00+00:00,58,DK1
2019-12-15T00:10:00,2019-12-14T23:10:00+00:00,58,DK1
2019-12-15T00:15:00,2019-12-14T23:15:00+00:00,58,DK1
2019-12-15T00:20:00,2019-12-14T23:20:00+00:00,56,DK1
2019-12-15T00:25:00,2019-12-14T23:25:00+00:00,58,DK1
2019-12-15T00:30:00,2019-12-14T23:30:00+00:00,59,DK1
2019-12-15T00:35:00,2019-12-14T23:35:00+00:00,57,DK1
2019-12-15T00:40:00,2019-12-14T23:40:00+00:00,58,DK1
2019-12-15T00:45:00,2019-12-14T23:45:00+00:00,58,DK1
2019-12-15T00:50:00,2019-12-14T23:50:00+00:00,58,DK1
2019-12-15T00:55:00,2019-12-14T23:55:00+00:00,58,DK1
2019-12-15T01:00:00,2019-12-15T00:00:00+00:00,57,DK1
2019-12-15T01:05:00,2019-12-15T00:05:00+00:00,59,DK1
2019-12-15T01:10:00,2019-12-15T00:10:00+00:00,59,DK1
2019-12-15T01:15:00,2019-12-15T00:15:00+00:00,59,DK1
2019-12-15T01:20:00,2019-12-15T00:20:00+00:00,59,DK1
2019-12-15T01:25:00,2019-12-15T00:25:00+00:00,59,DK1
2019-12-15T01:30:00,2019-12-15T00:30:00+00:00,59,DK1
2019-12-15T01:35:00,2019-12-15T00:35:00+00:00,61,DK1
2019-12-15T01:40:00,2019-12-15T00:40:00+00:00,61,DK1
2019-12-15T01:45:00,2019-12-15T00:45:00+00:00,61,DK1
2019-12-15T01:50:00,2019-12-15T00:50:00+00:00,61,DK1
2019-12-15T01:55:00,2019-12-15T00:55:00+00:00,61,DK1
2019-12-15T02:00:00,2019-12-15T01:00:00+00:00,58,DK1
2019-12-15T02:05:00,2019-12-15T01:05:00+00:00,59,DK1
2019-12-15T02:10:00,2019-12-15T01:10:00+00:00,60,DK1
2019-12-15T02:15:00,2019-12-15T01:15:00+00:00,60,DK1
2019-12-15T02:20:00,2019-12-15T01:20:00+00:00,62,DK1
2019-12-15T02:25:00,2019-12-15T01:25:00+00:00,62,DK1
2019-12-15T02:30:00,2019-12-15T01:30:00+00:00,62,DK1
2019-12-15T02:35:00,2019-12-15T01:35:00+00:00,62,DK1
2019-12-15T02:40:00,2019-12-15T01:40:00+00:00,62,DK1
2019-12-15T02:45:00,2019-12-15T01:45:00+00:00,62,DK1
2019-12-15T02:50:00,2019-12-15T01:50:00+00:00,62,DK1
2019-12-15T02:55:00,2019-12-15T01:55:00+00:00,63,DK1
2019-12-15T03:00:00,2019-12-15T02:00:00+00:00,60,DK1
2019-12-15T03:05:00,2019-12-15T02:05:00+00:00,60,DK1
2019-12-15T03:10:00,2019-12-15T02:10:00+00:00,61,DK1
2019-12-15T03:15:00,2019-12-15T02:15:00+00:00,62,DK1
2019-12-15T03:20:00,2019-12-15T02:20:00+00:00,63,DK1
2019-12-15T03:25:00,2019-12-15T02:25:00+00:00,64,DK1
2019-12-15T03:30:00,2019-12-15T02:30:00+00:00,66,DK1
2019-12-15T03:35:00,2019-12-15T02:35:00+00:00,66,DK1
2019-12-15T03:40:00,2019-12-15T02:40:00+00:00,67,DK1
2019-12-15T03:45:00,2019-12-15T02:45:00+00:00,68,DK1
2019-12-15T03:50:00,2019-12-15T02:50:00+00:00,68,DK1
2019-12-15T03:55:00,2019-12-15T02:55:00+00:00,69,DK1
2019-12-15T04:00:00,2019-12-15T03:00:00+00:00,70,DK1
2019-12-15T04:05:00,2019-12-15T03:05:00+00:00,71,DK1
2019-12-15T04:10:00,2019-12-15T03:10:00+00:00,72,DK1
2019-12-15T04:15:00,2019-12-15T03:15:00+00:00,73,DK1
2019-12-15T04:20:00,2019-12-15T03:20:00+00:00,73,DK1
2019-12-15T04:25:00,2019-12-15T03:25:00+00:00,74,DK1
2019-12-15T04:30:00,2019-12-15T03:30:00+00:00,74,DK1
2019-12-15T04:35:00,2019-12-15T03:35:00+00:00,74,DK1
2019-12-15T04:40:00,2019-12-15T03:40:00+00:00,75,DK1
2019-12-15T04:45:00,2019-12-15T03:45:00+00:00,76,DK1
2019-12-15T04:50:00,2019-12-15T03:50:00+00:00,76,DK1
2019-12-15T04:55:00,2019-12-15T03:55:00+00:00,77,DK1
2019-12-15T05:00:00,2019-12-15T04:00:00+00:00,77,DK1
2019-12-15T05:05:00,2019-12-15T04:05:00+00:00,78,DK1
2019-12-15T05:10:00,2019-12-15T04:10:00+00:00,82,DK1
2019-12-15T05:15:00,2019-12-15T04:15:00+00:00,81,DK1
2019-12-15T05:20:00,2019-12-15T04:20:00+00:00,84,DK1
2019-12-15T05:25:00,2019-12-15T04:25:00+00:00,86,DK1
2019-12-15T05:30:00,2019-12-15T04:30:00+00:00,87,DK1
2019-12-15T05:35:00,2019-12-15T04:35:00+00:00,86,DK1
2019-12-15T05:40:00,2019-12-15T04:40:00+00:00,87,DK1
2019-12-15T05:45:00,2019-12-15T04:45:00+00:00,86,DK1
2019-12-15T05:50:00,2019-12-15T04:50:00+00:00,87,DK1
2019-12-15T05:55:00,2019-12-15T04:55:00+00:00,87,DK1
2019-12-15T06:00:00,2019-12-15T05:00:00+00:00,87,DK1
2019-12-15T06:05:00,2019-12-15T05:05:00+00:00,86,DK1
2019-12-15T06:10:00,2019-12-15T05:10:00+00:00,86,DK1
2019-12-15T06:15:00,2019-12-15T05:15:00+00:00,87,DK1
2019-12-15T06:20:00,2019-12-15T05:20:00+00:00,84,DK1
2019-12-15T06:25:00,2019-12-15T05:25:00+00:00,84,DK1
2019-12-15T06:30:00,2019-12-15T05:30:00+00:00,84,DK1
2019-12-15T06:35:00,2019-12-15T05:35:00+00:00,86,DK1
2019-12-15T06:40:00,2019-12-15T05:40:00+00:00,85,DK1
2019-12-15T06:45:00,2019-12-15T05:45:00+00:00,80,DK1
2019-12-15T06:50:00,2019-12-15T05:50:00+00:00,82,DK1
2019-12-15T06:55:00,2019-12-15T05:55:00+00:00,80,DK1
2019-12-15T07:00:00,2019-12-15T06:00:00+00:00,80,DK1
2019-12-15T07:05:00,2019-12-15T06:05:00+00:00,80,DK1
2019-12-15T07:10:00,2019-12-15T06:10:00+00:00,81,DK1
2019-12-15T07:15:00,2019-12-15T06:15:00+00:00,81,DK1
